census_tract,Longitude,Latitude,EV Level1 EVSE Num,EV Level1 Power Output (kW),EV Level2 EVSE Num,EV Level2 Power Output (kW),EV DC Fast Count,EV CHAdeMO Connector Count,EV CHAdeMO Power Output (kW),EV CCS Connector Count,EV CCS Power Output (kW),EV J3400 Connector Count,EV J3400 Power Output (kW),EV other DC Fast Count,EV other DC Fast Power Output (kW)
06001409000,-122.2087,37.7136,0.0,1,4.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001409000,-122.2145,37.7153,0.0,1,2.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001402900,-122.263905,37.810716,4.0,1,2.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001402900,-122.263905,37.810716,4.0,1,2.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001402900,-122.26492,37.810953,0.0,1,1.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001422800,-122.256305,37.867942,0.0,1,3.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001422800,-122.256305,37.867942,0.0,1,3.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001400100,-122.24184,37.857507,0.0,1,1.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001425102,-122.292879,37.83963,0.0,1,4.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001409000,-122.198335,37.725841,0.0,1,3.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001409000,-122.198335,37.725841,0.0,1,3.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001409000,-122.213042,37.730079,0.0,1,3.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001409000,-122.213042,37.730079,0.0,1,3.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001425102,-122.291804,37.833765,0.0,1,7.0,9.6,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001425102,-122.294625,37.836685,0.0,1,2.0,9.6,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001409000,-122.203197,37.752065,0.0,1,2.0,9.6,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001405302,-122.25313,37.79966,0.0,1,0.0,13.0,3.0,0,0.0,1,350.0,0,0.0,2.0,150
06001425102,-122.295505,37.837493,0.0,1,0.0,13.0,12.0,0,0.0,0,0.0,1,150.0,11.0,150
06001425104,-122.27974,37.83268,0.0,1,0.0,13.0,3.0,0,0.0,1,350.0,0,0.0,2.0,150
06001409000,-122.195179,37.746162,0.0,1,0.0,13.0,16.0,0,0.0,0,0.0,1,150.0,15.0,150
06001425104,-122.283766,37.835118,0.0,1,3.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001409000,-122.200353,37.732015,0.0,1,1.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001422902,-122.269844,37.87037,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001425102,-122.29375,37.83803,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001422902,-122.266758,37.868772,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001422800,-122.259492,37.867365,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403100,-122.275863,37.799328,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001404502,-122.208897,37.827243,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403000,-122.271703,37.800455,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001404102,-122.253697,37.82606,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001404900,-122.217392,37.799695,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001407500,-122.191379,37.771447,0.0,1,1.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403402,-122.265232,37.800591,0.0,1,1.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403100,-122.277883,37.800256,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403100,-122.277644,37.800244,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403100,-122.275771,37.804704,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001425102,-122.294069,37.842392,0.0,1,1.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001422000,-122.299413,37.868212,0.0,1,1.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001423500,-122.267518,37.86158,0.0,1,1.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001402802,-122.272338,37.806188,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001425102,-122.296271,37.842922,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001405000,-122.244723,37.809749,0.0,1,1.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001422902,-122.26985,37.870543,0.0,1,1.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001422200,-122.290889,37.869385,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001422000,-122.312865,37.86457,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001983200,-122.271843,37.794095,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001425101,-122.301789,37.838825,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001406000,-122.246167,37.785814,0.0,1,2.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001401600,-122.285546,37.819719,0.0,1,4.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001401700,-122.288545,37.825109,0.0,1,1.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403100,-122.274138,37.802798,0.0,1,8.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403100,-122.274138,37.802798,0.0,1,8.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001425102,-122.294041,37.840281,0.0,1,0.0,13.0,12.0,0,0.0,0,0.0,1,150.0,11.0,150
06001983200,-122.272388,37.794181,0.0,1,0.0,13.0,12.0,0,0.0,0,0.0,1,150.0,11.0,150
06001403100,-122.276066,37.802139,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403100,-122.275978,37.802122,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403100,-122.27597,37.802251,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403100,-122.276228,37.802314,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403100,-122.276432,37.802337,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403100,-122.276295,37.802248,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403100,-122.276108,37.802195,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001409000,-122.200379,37.732048,0.0,1,1.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001422902,-122.26986,37.870335,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001422902,-122.269763,37.870549,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001422902,-122.269881,37.870528,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001422902,-122.26982,37.870517,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001422902,-122.269852,37.870494,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001422902,-122.269737,37.870538,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001422902,-122.269785,37.870562,0.0,1,1.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001422902,-122.269908,37.870591,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001422902,-122.269908,37.870532,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001422902,-122.269876,37.870583,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001422902,-122.26985,37.870316,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001422902,-122.269761,37.870559,0.0,1,1.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001422902,-122.269875,37.870346,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001422902,-122.269908,37.870549,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001422902,-122.269812,37.870543,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001422902,-122.269902,37.87079,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001422902,-122.266602,37.868792,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001422800,-122.259509,37.867361,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001422800,-122.259514,37.867442,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001422800,-122.25951,37.867363,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403402,-122.265159,37.80048,0.0,1,1.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403402,-122.265114,37.800635,0.0,1,1.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403402,-122.265304,37.800567,0.0,1,1.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403402,-122.265073,37.800513,0.0,1,1.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403402,-122.265044,37.800536,0.0,1,1.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403402,-122.26512,37.800486,0.0,1,1.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403402,-122.26521,37.800472,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403402,-122.264983,37.800776,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403402,-122.264976,37.800742,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403402,-122.265044,37.800584,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403402,-122.265047,37.800733,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403100,-122.275863,37.799311,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403100,-122.275884,37.799319,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403100,-122.275852,37.799328,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001404502,-122.208879,37.82723,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403000,-122.271531,37.800438,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403000,-122.271681,37.800489,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403000,-122.271617,37.800438,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001407500,-122.191359,37.771418,0.0,1,1.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001407500,-122.191358,37.771466,0.0,1,1.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001407500,-122.191376,37.771513,0.0,1,1.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403402,-122.265143,37.800631,0.0,1,1.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403100,-122.277788,37.80024,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403100,-122.277739,37.800232,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403100,-122.277927,37.800285,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403100,-122.277959,37.800321,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403100,-122.277841,37.800251,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403100,-122.277648,37.800309,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403100,-122.277713,37.800313,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403100,-122.275718,37.804687,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403100,-122.275718,37.804678,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403100,-122.275728,37.804738,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001425102,-122.294054,37.842371,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001422000,-122.299482,37.868258,0.0,1,1.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001422000,-122.29943,37.868196,0.0,1,1.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001423500,-122.267649,37.861495,0.0,1,1.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001423500,-122.267464,37.861775,0.0,1,1.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001423500,-122.267671,37.861612,0.0,1,1.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001402802,-122.272404,37.806119,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001425102,-122.296292,37.842989,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403100,-122.275988,37.802264,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403100,-122.27586,37.802378,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403100,-122.275784,37.802297,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403100,-122.27578,37.802259,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403100,-122.275848,37.802177,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403100,-122.275736,37.802314,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403100,-122.275749,37.802323,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403100,-122.275719,37.802438,0.0,1,1.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403100,-122.276378,37.802674,0.0,1,1.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403100,-122.276404,37.802628,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403100,-122.275741,37.802357,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403100,-122.276164,37.802237,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001403100,-122.276489,37.802331,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001422100,-122.29525,37.87612,0.0,1,2.0,6.5,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001982100,-122.250055,37.875902,0.0,1,1.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001982100,-122.250055,37.875902,0.0,1,1.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001982100,-122.250014,37.875985,0.0,1,1.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001982100,-122.250055,37.875902,0.0,1,1.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001982100,-122.250014,37.875985,0.0,1,1.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001982100,-122.250014,37.875985,0.0,1,1.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001982100,-122.250055,37.875902,0.0,1,1.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001982100,-122.250055,37.875902,0.0,1,1.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001982100,-122.250055,37.875902,0.0,1,1.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001982100,-122.250055,37.875902,0.0,1,1.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001982100,-122.250055,37.875902,0.0,1,1.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001982100,-122.250027,37.875928,0.0,1,1.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001982100,-122.250055,37.875902,0.0,1,1.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001982100,-122.250014,37.875985,0.0,1,1.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001982100,-122.250055,37.875902,0.0,1,1.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001982100,-122.250014,37.875985,0.0,1,1.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001982100,-122.250055,37.875902,1.0,1,0.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001982100,-122.250055,37.875902,1.0,1,0.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001982100,-122.250055,37.875902,1.0,1,0.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001982100,-122.250055,37.875902,1.0,1,0.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001982100,-122.250055,37.875902,1.0,1,0.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001982100,-122.250055,37.875902,1.0,1,0.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
06001982100,-122.250055,37.875902,1.0,1,0.0,13.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0
